STATE,DISTRICT,TEH_NAME,BLOCK_NAME,LAT,LON,SITE_NAME,SITE_TYPE,WLCODE,YEAR_OBS,MONSOON,POMRB,POMKH,PREMON
WB,Hugli,Haripai,Haripai,22.81083333,88.03888889,Gopal Prasadpur,Tube Well,W10496,2018,11.85,13.56,NA,NA
WB,Hugli,Chunchura,Chunchura,23.04555556,88.33916667,Gowa Shallow Pz,Tube Well,W28151,2018,NA,NA,14.25,10.89
WB,Hugli,Uttarpara,Uttarpara,22.74583333,88.325,Baidyabati-1,Dug Well,W10515,2018,NA,'0.62,NA,NA
WB,Hugli,Chunchura,Chunchura,22.97916667,88.38333333,Mogra,Dug Well,W10478,2018,NA,NA,2.02,2.44
WB,Hugli,Chunchura,Chunchura,22.91888889,88.38111111,Polba,Dug Well,W10480,2018,NA,NA,1.32,NA
WB,Hugli,Jangipara,Jangipara,22.74166667,88.06111111,Jangipara,Tube Well,W10500,2018,NA,NA,12.6,NA
WB,Hugli,Khanakui-i,Pursura,22.775,87.93666667,Digruighat,Tube Well,W10502,2018,NA,NA,8.39,NA
WB,Hugli,Goghat-ii,Goghat-ii,22.87583333,87.64083333,Kanthali,Tube Well,W10495,2018,NA,NA,14.02,NA
WB,Hugli,Pandua,Pandua,23.03194444,88.31444444,Itachuna Deep,Tube Well,W10505,2018,NA,NA,15.55,NA
WB,Hugli,Dhaniakhali,Dhaniakhali,22.975,88.09222222,Dhanikhali,Tube Well,W10486,2018,NA,15.38,13.2,NA
WB,Hugli,Pandua,Pandua,23.00833333,88.21666667,Pandua-1,Dug Well,W10508,2018,NA,2.34,6.5,NA
WB,Hugli,Balagarh,Balagarh,23.11111111,88.44166667,Balagarh,Dug Well,W10466,2018,NA,5.17,6.35,NA
WB,Hugli,Khanakui-i,Khanakui-i,22.74833333,87.78055556,Chackbedua,Tube Well,W10501,2018,NA,13.65,13.05,NA
WB,Hugli,Uttarpara,Uttarpara,22.675,88.34166667,Uttarpara,Dug Well,W11200,2018,NA,1.16,'0.53,NA
WB,Hugli,Uttarpara,Uttarpara,22.675,88.34305556,Uttarpara1,Dug Well,W11201,2018,NA,'0.5,'0.53,NA
WB,Hugli,Chanditala-ii,Chanditala-ii,22.73388889,88.18888889,Garalgacha,Tube Well,W10472,2018,NA,12.37,13.4,NA
WB,Hugli,Haripai,Haripai,22.88277778,88.09722222,Naity Alipur Pz,Tube Well,W10497,2018,NA,12.8,11.5,NA
WB,Hugli,Haripai,Haripai,22.83333333,88.16666667,Nalikul1,Dug Well,W10498,2018,NA,1.97,1.02,NA
WB,Hugli,Tarakeshwar,Tarakeshwar,22.89166667,88.00833333,Tarakeswar,Dug Well,W11198,2018,NA,1.99,2.06,NA
WB,Hugli,Tarakeshwar,Tarakeshwar,22.89166667,88.01083333,Tarakeswar Pz,Tube Well,W11199,2018,NA,11.28,10.46,NA
WB,Hugli,Pursura,Pursura,22.81083333,87.93194444,Srirampur Pz,Tube Well,W11196,2018,NA,14.7,11,NA
WB,Hugli,Arambag,Arambag,22.83777778,87.87388889,Haraditya Pz,Tube Well,W10463,2018,NA,16.57,8.11,NA
WB,Hugli,Arambag,Arambag,22.79277778,87.81555556,Gourhati Pz,Tube Well,W10462,2018,NA,25.72,14.54,NA
WB,Hugli,Goghat-i,Goghat-i,22.84277778,87.75527778,Shyambazar,Tube Well,W11192,2018,NA,16.88,16.85,NA
WB,Hugli,Goghat-i,Goghat-i,22.88277778,87.71361111,Goghat Pz,Tube Well,W10490,2018,NA,18.3,18.38,NA
WB,Hugli,Goghat-i,Goghat-i,22.83722222,87.74194444,Pandugram,Tube Well,W10491,2018,NA,17.49,13.92,NA
WB,Hugli,Goghat-ii,Goghat-ii,22.89638889,87.65527778,Kamarpukur Pz,Tube Well,W10494,2018,NA,13.2,8.69,NA
WB,Hugli,Chunchura,Chunchura,23.04777778,88.33166667,Khanyan Deep Pz,Tube Well,W10476,2018,NA,15.76,16.07,NA
WB,Hugli,Balagarh,Balagarh,23.13527778,88.38,Inchura,Dug Well,W10467,2018,NA,10.56,10.05,NA
WB,Hugli,Balagarh,Balagarh,23.14555556,88.38277778,Inchura(dhobapara),Dug Well,W10468,2018,NA,5,4.94,NA
WB,Hugli,Balagarh,Balagarh,23.16222222,88.39805556,Karola,Dug Well,W10469,2018,NA,3.93,3.61,NA
WB,Hugli,Dhaniakhali,Dhaniakhali,22.97305556,88.03888889,Dasghara,Tube Well,W10483,2018,9.54,NA,NA,NA
WB,Hugli,Chunchura,Pandua,23.05388889,88.335,Khanyan,Dug Well,W10475,2018,6,NA,NA,NA
WB,Hugli,Shrirampur,Shrirampur,22.83055556,88.35666667,Bhadeshwar,Tube Well,W28016,2018,12.3,12.18,NA,NA
WB,Hugli,Shrirampur,Shrirampur,22.82888889,88.35638889,Bhadreswar1,Dug Well,W28015,2018,NA,3.1,3.35,NA
WB,Hugli,Tarakeshwar,Haripai,22.80638889,88.02722222,Gobarhanra,Bore Well,W27999,2018,NA,14.05,11.65,NA
WB,Hugli,Tarakeshwar,Tarakeshwar,22.88888889,88.0425,Mirzapur2,Bore Well,W28042,2018,NA,13.78,12.96,NA
WB,Hugli,Tarakeshwar,Tarakeshwar,22.84333333,87.97916667,Muktapur1,Bore Well,W28022,2018,NA,10.54,12.66,NA
WB,Hugli,Arambag,Arambag,22.92444444,87.82944444,Puin,Bore Well,W28066,2018,NA,14.25,11.9,NA
WB,Hugli,Goghat-i,Goghat-i,22.88166667,87.7525,Chapadanga,Bore Well,W28040,2018,NA,13.88,12.32,NA
WB,Hugli,Goghat-ii,Goghat-ii,22.82611111,87.63944444,Hazapur,Bore Well,W28013,2018,NA,16.97,10.99,NA
WB,Hugli,Dadpur-polba,Dadpur-polba,22.995,88.26222222,Mahanad,Bore Well,W28112,2018,NA,18.9,17.32,NA
WB,Hugli,Chunchura,Chunchura,22.93416667,88.38861111,Sahaganj Inter,Tube Well,W28076,2018,NA,12.73,13.11,NA
WB,Hugli,Chunchura,Chunchura,23.04944444,88.32,Khanyan1,Tube Well,W28153,2018,NA,16.79,18.73,NA
WB,Hugli,Pandua,Pandua,23.10027778,88.32638889,Mandolai (Deypara),Bore Well,W28189,2018,NA,9.89,9.13,NA
WB,Hugli,Chanditala-ii,Chanditala-ii,22.73055556,88.20833333,Krishnarampur,Bore Well,W27965,2018,NA,NA,12.98,NA
WB,Hugli,Pursura,Pursura,22.82277778,87.95888889,Jangalpara-1,Tube Well,W10510,2018,13.03,14.65,NA,NA
WB,Hugli,Chunchura,Chunchura,22.97916667,88.38333333,Mogra,Dug Well,W10478,2017,1.21,2.17,1.68,3.16
WB,Hugli,Chunchura,Chunchura,23.04555556,88.33916667,Gowa Shallow Pz,Tube Well,W28151,2017,NA,NA,NA,14.92
WB,Hugli,Balagarh,Balagarh,23.11111111,88.44166667,Balagarh,Dug Well,W10466,2017,8.67,10.35,7.9,5.57
WB,Hugli,Uttarpara,Uttarpara,22.675,88.34166667,Uttarpara,Dug Well,W11200,2017,'0.37,'0.6,'0.97,'0.55
WB,Hugli,Tarakeshwar,Tarakeshwar,22.89166667,88.00833333,Tarakeswar,Dug Well,W11198,2017,'0.22,2.91,'0.83,3.46
WB,Hugli,Balagarh,Balagarh,23.13527778,88.38,Inchura,Dug Well,W10467,2017,5.68,10.86,6.65,9.26
WB,Hugli,Balagarh,Balagarh,23.16222222,88.39805556,Karola,Dug Well,W10469,2017,2.73,4,3.63,4.18
WB,Hugli,Goghat-ii,Goghat-ii,22.87583333,87.64083333,Kanthali,Tube Well,W10495,2017,14.98,NA,NA,NA
WB,Hugli,Shrirampur,Shrirampur,22.83333333,88.36,Bhadreswar-1,Dug Well,W10512,2017,NA,3.7,11.08,13.28
